ID, Distance
9, 1.597650
8, 1.545953
12, 1.577535
10, 1.608269
14, 1.250360
12, 1.506243
13, 1.396236
15, 1.072389
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
21, -0.369964
20, -0.115883
28, -1.557213
26, -1.373942
25, -1.227196
22, -0.614230
23, -0.842363
28, -1.484905
24, -1.048462
29, -1.588998
30, -1.579436
31, -1.528776
32, -1.438327
34, -1.148390
36, -0.956402
36, -0.739429
37, -0.503086
33, -1.310429
39, 0.002921
38, -0.253484
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.977659
4, 0.752609
5, 1.160489
7, 1.449881
6, 1.318170
8, 1.541055
9, 1.595160
12, 1.573214
10, 1.606338
12, 1.503364
14, 1.243465
15, 1.079900
13, 1.389885
16, 0.866926
17, 0.639284
18, 0.395353
20, -0.115883
21, -0.369964
20, 0.141441
22, -0.614230
23, -0.842363
24, -1.055991
25, -1.220617
26, -1.367381
28, -1.481955
28, -1.552874
29, -1.587057
30, -1.576993
31, -1.523917
32, -1.433756
33, -1.302918
34, -1.146123
36, -0.963931
36, -0.739429
38, -0.253484
37, -0.503086
39, 0.002921
1, 0.265992
0, 0.009500
2, 0.515849
4, 0.752609
4, 0.984978
5, 1.155968
6, 1.307385
7, 1.440985
9, 1.590298
8, 1.531564
10, 1.602578
12, 1.564831
12, 1.497738
13, 1.380705
14, 1.230354
15, 1.086901
16, 0.866926
17, 0.639284
20, 0.141441
18, 0.395353
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.062966
25, -1.214992
26, -1.358038
28, -1.476186
29, -1.583277
28, -1.544437
30, -1.572219
31, -1.514479
32, -1.424959
33, -1.292118
34, -1.141753
36, -0.971217
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.988645
5, 1.153346
6, 1.296604
7, 1.432252
9, 1.584098
8, 1.521861
10, 1.598042
12, 1.555305
12, 1.489806
13, 1.370131
14, 1.224853
15, 1.091755
17, 0.639284
16, 0.866926
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.067816
25, -1.207761
26, -1.347375
28, -1.468029
28, -1.534892
29, -1.578695
30, -1.566132
31, -1.504830
32, -1.416215
33, -1.281334
34, -1.139415
36, -0.974899
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.986843
5, 1.151057
6, 1.286989
7, 1.422445
8, 1.512156
9, 1.576724
10, 1.592966
12, 1.480100
